"m","n"
"Module tensorflow.python.data.kernel_tests.dataset_test",412
"Module tensorflow.python.training.queue_runner_impl",412
"Module linalg.linear_operator_util",412
"Module tensorflow.python.keras.engine.sequential_test",411
"Module tensorflow.python.profiler.option_builder",411
"Module tensorflow.python.keras.utils.metrics_utils",411
"Module tensorflow.python.ops.rnn_cell_wrapper_impl",411
"Module tensorflow.python.ops.init_ops_v2_test",411
"Module tensorflow.lite.testing.zip_test_utils",411
"Module tensorflow.python.autograph.pyct.static_analysis.activity_test",410
"Module tensorflow.python.autograph.pyct.transformer",409
"Module tracemalloc",409
"Module tensorflow.python.keras.utils.conv_utils",409
"Module tensorflow.python.keras.activations",408
"Module tensorflow.lite.python.util",406
"Module tensorflow.python.debug.lib.grpc_debug_test_server",405
"Module tensorflow.python.kernel_tests.constant_op_eager_test",405
"Module tensorflow.python.tools.freeze_graph",403
"Module tensorflow.python.training.learning_rate_decay_test",402
"Module tensorflow.python.debug.cli.command_parser_test",401
"Module tensorflow.python.util.protobuf.compare_test",401
"Module tensorflow.python.keras.layers.cudnn_recurrent_test",401
"Module ctypes.__init__",400
"Module tensorflow.python.lib.io.tf_record_test",400
"Module tensorflow.python.keras.engine.training_v2_utils",399
"Module unittest.loader",398
"Module heapq",398
"Module tensorflow.python.training.checkpoint_utils",397
"Module tensorflow.python.ops.collective_ops_test",396
"Module tensorflow.python.keras.keras_parameterized",396
"Module tensorflow.python.framework.importer",396
"Module tensorflow.python.keras.distribute.multi_worker_callback_tf1_test",395
"Module tensorflow.python.debug.lib.debug_graphs",394
"Module tensorflow.python.data.experimental.kernel_tests.rebatch_dataset_test",393
"Module tensorflow.python.keras.layers.preprocessing.image_preprocessing",390
"Module tensorflow.python.tools.optimize_for_inference_lib",390
"Module tensorflow.compiler.tests.tridiagonal_solve_ops_test",390
"Module tensorflow.python.kernel_tests.distributions.dirichlet_multinomial_test",389
"Module tensorflow.python.kernel_tests.confusion_matrix_test",389
"Module tensorflow.python.data.experimental.kernel_tests.sql_dataset_test",388
"Module tensorflow.python.data.experimental.kernel_tests.snapshot_test",387
"Module tensorflow.python.debug.cli.cli_shared",386
"Module tensorflow.python.kernel_tests.linalg.linear_operator_identity_test",386
"Module tensorflow.python.kernel_tests.conditional_accumulator_test",385
"Module tensorflow.python.data.experimental.ops.grouping",385
"Module tensorflow.python.kernel_tests.distributions.categorical_test",385
"Module tensorflow.python.data.kernel_tests.multi_device_iterator_test",385
"Module tensorflow.python.framework.device_spec",384
"Module tensorflow.python.kernel_tests.checkpoint_ops_test",384
"Module tensorflow.python.keras.layers.preprocessing.image_preprocessing_test",382
"Module tensorflow.compiler.tests.pooling_ops_3d_test",381
"Module tensorflow.python.keras.layers.dense_attention_test",381
"Module tensorflow.python.distribute.cluster_resolver.cluster_resolver_test",380
"Module tensorflow.python.tpu.tensor_tracer_flags",380
"Module distutils.util",379
"Module tensorflow.python.autograph.pyct.static_analysis.activity",378
"Module tensorflow.examples.speech_commands.train",377
"Module tensorflow.python.data.util.nest",377
"Module tensorflow.python.saved_model.loader_impl",377
"Module json.encoder",375
"Module tensorflow.python.data.experimental.kernel_tests.stats_dataset_ops_test",374
"Module tensorflow.python.summary.summary",374
"Module tensorflow.python.kernel_tests.sparse_serialization_ops_test",373
"Module tensorflow.python.keras.engine.compile_utils",373
"Script tensorflow.lite.tools.visualize",373
"Module tensorflow.python.keras.mixed_precision.experimental.loss_scale_optimizer_test",372
"Module experimental.loss_scale_optimizer_test",372
"Module tensorflow.python.data.kernel_tests.optional_test",372
"Module tensorflow.python.ops.ragged.ragged_const_op_test",371
"Module ragged.ragged_const_op_test",371
"Module tensorflow.python.ops.map_fn",370
"Module tensorflow.python.autograph.pyct.common_transformers.anf_test",369
"Module tensorflow.python.training.moving_averages_test",369
"Module tensorflow.python.kernel_tests.clip_ops_test",368
"Module tensorflow.python.kernel_tests.unicode_transcode_op_test",367
"Module tensorflow.python.training.checkpoint_utils_test",367
"Module tensorflow.python.tpu.ops.tpu_ops",366
"Module linalg.linear_operator_zeros",364
"Module experimental.autocast_variable_test",364
"Module tensorflow.python.ops.linalg.linear_operator_zeros",364
"Module tensorflow.python.keras.mixed_precision.experimental.autocast_variable_test",364
"Module tensorflow.python.grappler.datasets_test",363
"Module tensorflow.python.data.experimental.kernel_tests.auto_shard_dataset_test",363
"Module tensorflow.python.ops.linalg.linear_operator_kronecker",363
"Module tensorflow.python.debug.cli.profile_analyzer_cli_test",363
"Module linalg.linear_operator_kronecker",363
"Module lib2to3.fixer_util",363
"Module tensorflow.python.platform.benchmark",362
"Module tensorflow.python.keras.layers.lstm_test",362
"Module distutils.sysconfig",362
"Module tensorflow.python.kernel_tests.sparse_cross_op_test",361
"Module email.feedparser",361
"Module tensorflow.python.keras.temporal_sample_weights_correctness_test",361
"Module tensorflow.python.framework.convert_to_constants_test",361
"Module distributions.beta",360
"Module tensorflow.python.ops.distributions.beta",360
"Module tensorflow.lite.experimental.examples.lstm.rnn",360
"Module tensorflow.python.ops.ragged.ragged_stack_op_test",359
"Module ragged.ragged_stack_op_test",359
"Module operator",359
"Module tensorflow.python.ops.candidate_sampling_ops",359
"Module tensorflow.python.distribute.multi_process_runner",359
"Module tensorflow.python.data.experimental.kernel_tests.bucket_by_sequence_length_test",359
"Module tensorflow.python.training.experimental.mixed_precision",358
"Module tensorflow.python.data.util.structure",358
"Module tensorflow.python.distribute.cluster_resolver.cluster_resolver",358
"Module textwrap",357
"Module posixpath",356
"Module tensorflow.python.saved_model.nested_structure_coder",356
"Module tensorflow.python.ops.gradients_impl",355
"Module ragged.ragged_map_ops",355
"Module tensorflow.python.data.util.nest_test",355
"Module tensorflow.python.ops.ragged.ragged_map_ops",355
"Module tensorflow.python.data.experimental.ops.batching",354
"Module tensorflow.python.keras.add_loss_correctness_test",353
"Module tensorflow.python.training.tracking.tracking",352
"Module tensorflow.python.kernel_tests.logging_ops_test",352
"Module tensorflow.python.framework.indexed_slices",350
"Module tensorflow.python.eager.monitoring",350
"Module tensorflow.python.kernel_tests.pool_test",349
"Module tensorflow.python.ops.op_selector",349
"Module tensorflow.python.framework.sparse_tensor",347
"Module tensorflow.python.keras.callbacks_v1",347
"Module tensorflow.python.distribute.one_device_strategy",347
"Module html.parser",345
"Module tensorflow.python.profiler.model_analyzer",345
"Module tensorflow.python.kernel_tests.random.random_ops_test",344
"Module tensorflow.python.summary.writer.writer",343
"Module tensorflow.python.tpu.session_support",343
"Module tensorflow.python.keras.model_subclassing_compiled_test",343
"Module tensorflow.python.eager.ops_test",343
"Module tensorflow.python.ops.linalg.linear_operator_low_rank_update",342
"Module tensorflow.python.keras.optimizer_v2.ftrl_test",342
"Module linalg.linear_operator_low_rank_update",342
"Module tensorflow.python.training.ftrl_test",342
"Module tensorflow.python.ops.clip_ops",341
"Module tensorflow.python.keras.utils.tf_utils",341
"Module tensorflow.python.saved_model.signature_def_utils_test",340
"Module tensorflow.compiler.tests.fake_quant_ops_test",339
"Module tensorflow.python.training.experimental.loss_scale",339
"Module tensorflow.python.ops.parallel_for.control_flow_ops",339
"Module tensorflow.python.ops.linalg.linear_operator_algebra",339
"Module parallel_for.control_flow_ops",339
"Module tensorflow.python.profiler.pprof_profiler",339
"Module linalg.linear_operator_algebra",339
"Module tensorflow.python.kernel_tests.gather_nd_op_test",339
"Module tensorflow.python.kernel_tests.distributions.gamma_test",339
"Module tensorflow.python.debug.lib.debug_gradients",339
"Module tensorflow.python.ops.distributions.student_t",338
"Module tensorflow.lite.python.convert_test",338
"Module distributions.student_t",338
"Module tensorflow.python.kernel_tests.string_format_op_test",337
"Module tensorflow.python.data.util.sparse_test",336
"Module third_party.gpus.find_cuda_config",336
"Module tensorflow.python.debug.lib.check_numerics_callback",335
"Module tensorflow.compiler.tests.xla_ops_test",334
"Module tensorflow.python.keras.applications.mobilenet_v2",333
"Module tensorflow.python.training.tracking.graph_view",332
"Module model_utils.export_output_test",331
"Module tensorflow.python.saved_model.model_utils.export_output_test",331
"Module ragged.ragged_reduce_op_test",331
"Module tensorflow.python.framework.composite_tensor_test",331
"Module tensorflow.python.tpu.tensor_tracer_report",331
"Module tensorflow.python.ops.ragged.ragged_reduce_op_test",331
"Module tensorflow.python.kernel_tests.string_split_op_test",331
"Module tensorflow.python.kernel_tests.one_hot_op_test",330
"Module csv",329
"Module tensorflow.python.data.experimental.kernel_tests.reader_dataset_ops_test_base",329
"Module tensorflow.python.keras.engine.training_utils_test",328
"Module model_utils.export_output",328
"Module tensorflow.python.saved_model.model_utils.export_output",328
"Module tensorflow.python.saved_model.signature_def_utils_impl",325
"Module tensorflow.python.keras.applications.densenet",325
"Module distributions.special_math",325
"Module tensorflow.python.ops.distributions.special_math",325
"Module tensorflow.python.kernel_tests.einsum_op_test",325
"Module tensorflow.python.saved_model.function_deserialization",324
"Module tensorflow.python.distribute.metrics_v1_test",324
"Module tensorflow.tools.api.tests.api_compatibility_test",323
"Module python.bfloat16_test",323
"Module tensorflow.compiler.xla.python.bfloat16_test",323
"Module tensorflow.python.keras.engine.compile_utils_test",321
"Module http.cookies",321
"Module tkinter.filedialog",321
"Module tensorflow.python.data.kernel_tests.checkpoint_test",320
"Module tensorflow.python.framework.constant_op",320
"Module tensorflow.lite.python.interpreter_test",319
"Module structured.structured_tensor_test",319
"Module tensorflow.python.keras.saving.saved_model_experimental",319
"Module tensorflow.python.ops.sets_impl",319
"Module tensorflow.python.kernel_tests.svd_op_test",319
"Module tensorflow.python.ops.structured.structured_tensor_test",319
"Module tensorflow.python.kernel_tests.distributions.beta_test",317
"Module tensorflow.python.ops.batch_ops_test",317
"Module tensorflow.python.kernel_tests.linalg.linear_operator_addition_test",316
"Module email.charset",316
"Module tensorflow.python.tpu.device_assignment",316
"Module cmd",314
"Module email._policybase",314
"Module tensorflow.python.ops.signal.fft_ops",314
"Module tensorflow.python.data.experimental.kernel_tests.map_and_batch_test",314
"Module linalg.linear_operator_tridiag",313
"Module tensorflow.python.layers.normalization",313
"Module distributions.dirichlet",313
"Module tensorflow.python.ops.linalg.linear_operator_tridiag",313
"Module tensorflow.python.ops.distributions.dirichlet",313
"Module tensorflow.python.ops.linalg.linear_operator_block_diag",312
"Module tensorflow.python.kernel_tests.matrix_solve_ls_op_test",312
"Module tensorflow.python.eager.forwardprop",312
"Module tensorflow.python.module.module",312
"Module tensorflow.python.kernel_tests.distributions.multinomial_test",312
"Module linalg.linear_operator_block_diag",312
"Module tensorflow.python.ops.critical_section_ops",312
"Module tensorflow.python.ops.gradient_checker",311
"Module linalg.linear_operator_addition",311
"Module tensorflow.python.ops.linalg.linear_operator_addition",311
"Module tensorflow.python.keras.layers.kernelized_test",310
"Module tensorflow.python.kernel_tests.sparse_tensor_dense_matmul_op_test",310
"Module experimental.autocast_variable",309
"Module tensorflow.python.keras.mixed_precision.experimental.autocast_variable",309
"Module importlib.abc",309
"Module tensorflow.python.data.kernel_tests.from_generator_test",309
"Module tensorflow.python.autograph.pyct.static_analysis.liveness_test",308
"Module tensorflow.python.kernel_tests.distributions.special_math_test",308
"Module tensorflow.python.keras.applications.mobilenet",308
"Module json.decoder",308
"Module tensorflow.python.kernel_tests.slice_op_test",308
"Module tensorflow.python.debug.wrappers.framework_test",306
"Module tensorflow.python.util.tf_export",305
"Module tensorflow.python.kernel_tests.pad_op_test",305
"Module tensorflow.python.training.coordinator_test",305
"Module ragged.ragged_getitem",305
"Module tensorflow.python.ops.ragged.ragged_getitem",305
"Module tensorflow.python.keras.wrappers.scikit_learn",304
"Module lib2to3.pgen2.pgen",303
"Module tensorflow.python.kernel_tests.cholesky_op_test",303
"Module distributions.dirichlet_multinomial",302
"Module tensorflow.python.ops.distributions.dirichlet_multinomial",302
"Module tkinter.simpledialog",301
"Module tensorflow.python.framework.random_seed",301
"Module tensorflow.compiler.tests.concat_ops_test",301
"Module tensorflow.python.keras.layers.merge_test",300
"Module tensorflow.python.keras.engine.sequential",300
"Module tensorflow.python.keras.utils.layer_utils",300
"Module tensorflow.compiler.tf2xla.python.xla",299
"Module tensorflow.python.training.checkpoint_ops_test",299
"Module bz2",299
"Module tensorflow.python.kernel_tests.distributions.laplace_test",299
"Module tensorflow.python.training.tracking.tracking_test",298
"Module tensorflow.python.keras.applications.inception_v3",298
"Module tensorflow.python.layers.core",298
"Module tensorflow.python.keras.preprocessing.image_test",298
"Module tensorflow.python.kernel_tests.reduce_join_op_test",297
"Module tensorflow.python.framework.error_interpolation_test",297
"Module tensorflow.python.ops.ragged.ragged_concat_op_test",296
"Module tensorflow.compiler.tests.stateful_random_ops_test",296
"Module ragged.ragged_concat_op_test",296
"Module numbers",296
"Module lzma",296
"Module tensorflow.python.keras.applications.inception_resnet_v2",295
"Module tensorflow.python.kernel_tests.split_op_test",295
"Module tensorflow.python.kernel_tests.xent_op_test",295
"Module tensorflow.python.autograph.pyct.static_analysis.reaching_definitions_test",294
"Module tensorflow.python.autograph.converters.return_statements",294
"Module tensorflow.python.keras.applications.imagenet_utils",293
"Module tensorflow.python.framework.test_combinations",293
"Module distributions.categorical",292
"Module tensorflow.python.ops.distributions.categorical",292
"Module tensorflow.python.kernel_tests.depthtospace_op_test",292
"Module tensorflow.python.profiler.profile_context",291
"Module tensorflow.python.kernel_tests.linalg.linear_operator_test",291
"Module tensorflow.python.debug.wrappers.dumping_wrapper_test",291
"Module tensorflow.python.ops.ragged.ragged_constant_value_op_test",290
"Module linalg.sparse.sparse_csr_matrix_ops",290
"Module tensorflow.python.ops.linalg.sparse.sparse_csr_matrix_ops",290
"Module tensorflow.python.autograph.operators.py_builtins_test",290
"Module ragged.ragged_constant_value_op_test",290
"Module tensorflow.python.ops.distributions.gamma",289
"Module distributions.gamma",289
"Module distutils.fancy_getopt",289
"Module tensorflow.lite.experimental.examples.lstm.bidirectional_sequence_rnn_test",287
"Module _osx_support",286
"Module tensorflow.python.training.queue_runner_test",286
"Module tensorflow.python.data.experimental.kernel_tests.map_defun_op_test",286
"Module tensorflow.python.grappler.memory_optimizer_test",286
"Module tensorflow.python.debug.wrappers.hooks",286
"Module tensorflow.python.kernel_tests.linalg.linear_operator_util_test",286
"Module _markupbase",284
"Module tensorflow.python.ops.list_ops",284
"Module tensorflow.python.keras.optimizer_v2.adamax_test",284
"Module tensorflow.python.framework.auto_control_deps",283
"Module tensorflow.python.kernel_tests.stack_op_test",283
"Script timeit",282
"Module tensorflow.python.autograph.pyct.ast_util",281
"Module tensorflow.lite.schema.upgrade_schema",281
"Module tensorflow.python.ops.collective_ops_gpu_test",281
"Module tensorflow.python.kernel_tests.spacetodepth_op_test",281
"Module tensorflow.python.training.adagrad_test",281
"Module tensorflow.python.ops.parallel_for.array_test",280
"Module tensorflow.lite.python.tflite_convert_test",280
"Module parallel_for.array_test",280
"Module tensorflow.python.autograph.operators.py_builtins",280
"Module ragged.ragged_factory_ops",280
"Module tensorflow.python.ops.ragged.ragged_factory_ops",280
"Module tensorflow.python.data.experimental.kernel_tests.stats_dataset_test_base",280
"Module tensorflow.python.kernel_tests.dynamic_partition_op_test",278
"Module email.utils",278
"Module tensorflow.python.tools.optimize_for_inference_test",277
"Module tensorflow.python.autograph.core.converter",277
"Module multiprocessing.util",277
"Module tensorflow.python.keras.engine.training_eager",277
"Module tensorflow.python.debug.lib.debug_gradients_test",276
"Module tensorflow.python.framework.subscribe",276
"Module tensorflow.lite.schema.upgrade_schema_test",276
"Module tensorflow.python.keras.layers.tensorflow_op_layer_test",276
"Module tensorflow.python.framework.dtypes_test",276
"Module tensorflow.python.ops.gradient_checker_v2",275
"Module tensorflow.python.kernel_tests.critical_section_test",275
"Module tensorflow.python.training.adam_test",275
"Module tensorflow.python.kernel_tests.proto.decode_proto_op_test_base",275
"Module tensorflow.python.keras.engine.base_preprocessing_layer",274
"Module tensorflow.python.kernel_tests.parameterized_truncated_normal_op_test",274
"Module shlex",273
"Module ctypes.util",273
"Module tensorflow.python.keras.integration_test",273
"Module tensorflow.python.keras.layers.advanced_activations",273
"Module tensorflow.python.training.saving.saveable_object_util",272
"Module tensorflow.python.debug.lib.debug_utils_test",272
"Module tensorflow.python.keras.utils.conv_utils_test",272
"Module ast",272
"Module tensorflow.python.lib.io.tf_record",271
"Module tensorflow.python.saved_model.model_utils.export_utils",270
"Module multiprocessing.process",270
"Module model_utils.export_utils",270
"Module tensorflow.python.keras.distribute.keras_dnn_correctness_test",269
"Module tensorflow.python.util.tf_inspect",269
"Module tensorflow.python.kernel_tests.priority_queue_test",269
"Module distributions.multinomial",268
"Module tensorflow.python.keras.regularizers",268
"Module tensorflow.python.autograph.pyct.inspect_utils",268
"Module distutils.cmd",268
"Module tensorflow.python.eager.lift_to_graph",268
"Module tensorflow.python.ops.distributions.multinomial",268
"Module code",267
"Module tensorflow.python.autograph.pyct.transformer_test",266
"Module tensorflow.python.kernel_tests.distributions.bernoulli_test",266
"Module tensorflow.python.eager.benchmarks.resnet50.resnet50_test",266
"Module tensorflow.tools.docs.doc_controls",265
"Module tensorflow.python.eager.remote_test",264
"Module tensorflow.python.kernel_tests.sparse_xent_op_test",264
"Module tensorflow.python.tools.freeze_graph_test",263
"Module tensorflow.compiler.tests.ftrl_test",263
"Module tensorflow.python.debug.cli.cli_shared_test",263
"Module tensorflow.python.data.kernel_tests.interleave_test",262
"Module tensorflow.python.distribute.estimator_training",262
"Module tensorflow.python.framework.subscribe_test",262
"Module tensorflow.python.kernel_tests.signal.shape_ops_test",262
"Module multiprocessing.context",262
"Module tensorflow.python.autograph.operators.data_structures",261
"Module ragged.ragged_squeeze_op_test",261
"Module tensorflow.python.ops.ragged.ragged_squeeze_op_test",261
"Module tensorflow.python.keras.engine.training_eager_test",261
"Module tensorflow.python.kernel_tests.sparse_reshape_op_test",260
"Module tensorflow.examples.tutorials.mnist.input_data",260
"Module tensorflow.python.compiler.xla.xla_test",260
"Module tensorflow.python.kernel_tests.unsorted_segment_join_op_test",260
"Module tensorflow.python.distribute.custom_training_loop_test",259
"Module tensorflow.python.distribute.cluster_resolver.tpu_cluster_resolver",259
"Module tensorflow.python.training.training_ops_test",258
"Module tensorflow.python.data.kernel_tests.shuffle_test",258
"Module tensorflow.tools.git.gen_git_source",258
"Module imp",257
"Module multiprocessing.queues",257
"Module tensorflow.python.data.kernel_tests.cache_test",256
"Module tensorflow.python.kernel_tests.dynamic_stitch_op_test",255
"Module tensorflow.python.keras.mixed_precision.experimental.loss_scale_optimizer",254
"Module tensorflow.python.tpu.feature_column_test",254
"Module experimental.loss_scale_optimizer",254
"Module tensorflow.python.debug.lib.distributed_callbacks_test",253
"Module tensorflow.python.debug.lib.debug_events_writer_test",253
"Module tensorflow.python.saved_model.nested_structure_coder_test",252
"Module tensorflow.python.autograph.pyct.templates_test",252
"Module tensorflow.python.keras.mixed_precision.experimental.policy_test",252
"Module experimental.policy_test",252
"Module tensorflow.python.keras.engine.base_preprocessing_layer_test",251
"Module tensorflow.python.distribute.cluster_resolver.gce_cluster_resolver_test",250
"Module tensorflow.python.training.experimental.loss_scale_test",250
"Module tensorflow.python.ops.ragged.ragged_boolean_mask_op_test",249
"Module tensorflow.python.keras.distribute.multi_worker_test",249
"Module tensorflow.python.profiler.internal.flops_registry",249
"Module Queue",249
"Module tensorflow.python.distribute.input_ops_test",249
"Module ragged.ragged_boolean_mask_op_test",249
"Module queue",249
"Module ragged.ragged_map_fn_op_test",248
"Module tensorflow.python.ops.ragged.ragged_map_fn_op_test",248
"Module tensorflow.python.ops.control_flow_util",247
"Module tensorflow.python.data.kernel_tests.test_base",247
"Module tensorflow.python.training.ftrl",247
"Module tensorflow.compiler.tests.lstm_test",247
"Module tensorflow.python.keras.saving.saving_utils_test",246
"Module tensorflow.python.kernel_tests.distributions.dirichlet_test",246
"Module tensorflow.python.keras.premade.wide_deep_test",246
"Module tensorflow.python.kernel_tests.scan_ops_test",246
"Module tensorflow.python.kernel_tests.batchtospace_op_test",245
"Module tensorflow.python.kernel_tests.weights_broadcast_test",245
"Module tensorflow.compiler.tests.fused_batchnorm_test",245
"Module tensorflow.python.ops.session_ops",245
"Module tensorflow.python.ops.gradient_checker_v2_test",244
"Module tensorflow.python.debug.lib.source_utils",244
"Module tensorflow.python.ops.distributions.normal",244
"Module distributions.normal",244
"Module tensorflow.python.kernel_tests.where_op_test",243
"Module tensorflow.examples.speech_commands.input_data_test",243
"Module unittest.suite",243
"Module tensorflow.python.ops.ragged.ragged_merge_dims_op_test",242
"Module tensorflow.python.data.experimental.ops.resampling",242
"Module tensorflow.python.ops.stateless_random_ops",242
"Module tensorflow.python.ops.ragged.ragged_concat_ops",242
"Module ragged.ragged_concat_ops",242
"Module ragged.ragged_merge_dims_op_test",242
"Module tensorflow.python.data.kernel_tests.from_tensor_slices_test",241
"Module tensorflow.python.kernel_tests.sparse_concat_op_test",241
"Module tensorflow.python.kernel_tests.distributions.uniform_test",240
"Module distutils.filelist",240
"Module tensorflow.python.debug.lib.debug_utils",239
"Module tensorflow.python.framework.auto_control_deps_test",239
"Module tensorflow.python.data.experimental.kernel_tests.replicate_test",239
"Module tensorflow.python.debug.lib.debug_data_test",239
"Module tensorflow.python.kernel_tests.decode_csv_op_test",239
"Module tensorflow.python.distribute.cluster_resolver.tfconfig_cluster_resolver_test",239
"Module tensorflow.python.keras.engine.feature_columns_integration_test",239
"Module tensorflow.python.ops.boosted_trees_ops",238
"Module tensorflow.python.saved_model.model_utils.export_test",238
"Module model_utils.export_test",238
"Module tensorflow.python.ops.gradient_checker_test",238
"Module tensorflow.python.keras.optimizer_v2.adam",238
"Module tensorflow.python.data.experimental.kernel_tests.group_by_window_test",238
"Module tensorflow.python.ops.image_grad",238
"Module tensorflow.python.kernel_tests.linalg.linear_operator_low_rank_update_test",237
"Module tensorflow.python.framework.type_spec_test",236
"Module tensorflow.python.keras.applications.xception",236
"Module tensorflow.python.eager.execute",236
"Module tensorflow.python.distribute.distribution_strategy_context",236
"Module tensorflow.python.eager.benchmarks.resnet50.resnet50",235
"Module tensorflow.python.keras.engine.input_layer",235
"Module tensorflow.python.ops.ragged.string_ngrams_op_test",235
"Module tensorflow.python.ops.sparse_grad",235
"Module ragged.string_ngrams_op_test",235
"Module tensorflow.examples.tutorials.word2vec.word2vec_basic",235
"Module tensorflow.python.ops.signal.spectral_ops",235
"Module tensorflow.python.kernel_tests.signal.spectral_ops_test",235
"Module tensorflow.python.compiler.xla.jit_test",235
"Module importlib.util",234
"Module json.__init__",234
"Module tensorflow.python.compiler.tensorrt.test.quantization_mnist_test",234
"Module tensorflow.python.layers.utils",234
"Module tensorflow.python.debug.lib.source_utils_test",234
"Module tensorflow.python.feature_column.sequence_feature_column_integration_test",234
"Module tensorflow.python.eager.pywrap_tfe_test",234
"Module tensorflow.python.kernel_tests.unicode_encode_op_test",234
"Module tensorflow.python.distribute.central_storage_strategy",234
"Module tensorflow.python.compiler.tensorrt.test.base_test",233
"Module tensorflow.python.kernel_tests.stack_ops_test",233
"Module tensorflow.python.client.session_partial_run_test",233
"Module tensorflow.python.kernel_tests.atrous_convolution_test",232
"Module tensorflow.python.ops.partitioned_variables",231
"Module tensorflow.python.framework.tensor_spec",231
"Module tensorflow.python.keras.utils.generic_utils_test",231
"Module tensorflow.compiler.tests.nary_ops_test",231
"Module tensorflow.python.kernel_tests.session_ops_test",230
"Module tensorflow.python.ops.confusion_matrix",230
"Module tensorflow.python.training.experimental.loss_scaling_gradient_tape",230
"Module tensorflow.python.keras.distribute.multi_worker_fault_tolerance_test",230
"Module tensorflow.python.keras.optimizer_v2.rmsprop",230
"Module tensorflow.python.util.tf_decorator_test",230
"Script tensorflow.tools.ci_build.update_version",229
"Module ragged.ragged_dynamic_partition_op_test",228
"Module tensorflow.python.keras.constraints",228
"Module tensorflow.python.ops.ragged.ragged_dynamic_partition_op_test",228
"Module tensorflow.python.data.experimental.kernel_tests.optimize_dataset_test",227
"Module tensorflow.python.kernel_tests.distributions.bijector_test",227
"Module tensorflow.python.data.experimental.ops.iterator_ops",226
"Module tensorflow.examples.speech_commands.generate_streaming_test_wav",226
"Module tensorflow.python.kernel_tests.scatter_ops_test",225
"Module tensorflow.python.kernel_tests.linalg.linear_operator_block_diag_test",224
"Module tensorflow.lite.experimental.examples.lstm.bidirectional_sequence_lstm_test",224
"Module tensorflow.python.data.experimental.ops.interleave_ops",224
"Module tensorflow.python.keras.utils.vis_utils",224
"Module tensorflow.tools.pip_package.setup",224
"Module types",223
"Module six.moves.__init__",223
"Module tensorflow.compiler.tests.xla_test",223
"Module tensorflow.python.keras.utils.multi_gpu_utils",223
"Module tensorflow.python.kernel_tests.basic_gpu_test",222
"Module _compat_pickle",221
"Module tensorflow.python.ops.ragged.ragged_gather_op_test",221
"Module ragged.ragged_gather_op_test",221
"Module tensorflow.python.kernel_tests.batch_matmul_op_test",221
"Module tensorflow.python.kernel_tests.conv2d_transpose_test",221
"Module tensorflow.python.keras.saving.saving_utils",221
"Module tensorflow.python.keras.saving.saved_model.serialized_attributes",221
"Module tensorflow.python.kernel_tests.qr_op_test",220
"Module tensorflow.python.keras.layers.pooling_test",220
"Module tensorflow.python.training.tracking.layer_utils",220
"Module linalg.linear_operator_toeplitz",219
"Module tensorflow.python.ops.linalg.linear_operator_toeplitz",219
"Module tensorflow.tools.compatibility.tf_upgrade",219
"Module tensorflow.python.data.experimental.ops.prefetching_ops",218
"Module tensorflow.python.kernel_tests.sparse_slice_op_test",218
"Module tensorflow.python.kernel_tests.stage_op_test",218
"Module tensorflow.python.keras.layers.kernelized",218
"Module ragged.ragged_gather_nd_op_test",217
"Module tensorflow.python.data.experimental.kernel_tests.scan_test",217
"Module tensorflow.python.ops.ragged.ragged_gather_nd_op_test",217
"Module tensorflow.python.kernel_tests.sparse_split_op_test",216
"Module tensorflow.python.ops.inplace_ops",216
"Module tensorflow.compiler.tests.slice_ops_test",216
"Module tensorflow.python.keras.saving.metrics_serialization_test",216
"Module tensorflow.python.keras.utils.metrics_utils_test",216
"Module tensorflow.python.ops.ragged.ragged_gather_ops",215
"Module tensorflow.python.training.evaluation",215
"Module tensorflow.compiler.tests.cond_test",215
"Module ragged.ragged_gather_ops",215
"Module tensorflow.tools.docs.pretty_docs",214
"Module tensorflow.python.platform.tf_logging",214
"Module tensorflow.python.kernel_tests.linalg.linear_operator_kronecker_test",214
"Module tensorflow.lite.testing.generate_examples_lib",214
"Module tensorflow.tools.docs.doc_generator_visitor",214
"Module tensorflow.python.ops.batch_norm_benchmark",214
"Module tensorflow.python.ops.linalg.linear_operator_composition",214
"Module tensorflow.python.autograph.pyct.parser",214
"Module linalg.linear_operator_composition",214
"Module tensorflow.python.autograph.pyct.templates",213
"Module tensorflow.python.distribute.saved_model_test_base",213
"Module tensorflow.lite.toco.logging.gen_html",212
"Module tensorflow.python.debug.cli.evaluator_test",212
"Module ctypes._aix",212
"Module tensorflow.python.keras.optimizer_v2.ftrl",212
"Module linalg.linear_operator_diag",211
"Module tensorflow.python.kernel_tests.variable_ops_test",211
"Module unittest.main",211
"Module tensorflow.python.keras.utils.data_utils_test",211
"Module tensorflow.python.autograph.pyct.static_analysis.reaching_definitions",211
"Module tensorflow.python.kernel_tests.boosted_trees.resource_ops_test",211
"Module tensorflow.compiler.tests.spacetobatch_op_test",211
"Module tensorflow.python.ops.linalg.linear_operator_diag",211
"Module tensorflow.python.tpu.tpu_sharding",210
"Module tensorflow.python.keras.layers.gru_test",209
"Module tensorflow.python.kernel_tests.linalg.sparse.csr_sparse_matrix_test",209
"Module lib2to3.btm_utils",209
"Module tensorflow.python.ops.control_flow_util_v2",209
"Module copy",209
"Module tensorflow.python.framework.sparse_tensor_test",208
"Module tensorflow.compiler.tests.ternary_ops_test",207
"Module tensorflow.python.kernel_tests.bias_op_base",207
